,党政办公室,教务部,招生办公室,研究生院,科学技术部
0,"('党政', 76.799993)","('教务部', 98.830403)","('中学', 114.285704)","('研究生院', 138.28124)","('科学技术部', 97.171336)"
1,"('定于', 41.675414)","('教务', 82.241548)","('走进', 92.307682)","('研究生', 118.749992)","('技术部', 97.171336)"
2,"('全校', 28.183228)","('教学', 41.473329)","('招生', 87.499995)","('硕士', 60.88502)","('科学', 93.313948)"
3,"('山区', 24.999992)","('课程', 27.796379)","('名师', 81.129799)","('导师', 51.227671)","('自然科', 87.022891)"
4,"('总支', 24.999992)","('课堂', 24.999992)","('进', 76.69172)","('学位', 44.797581)","('自然', 87.022891)"
5,"('南山区', 20.689647)","('本科', 24.249852)","('介绍', 71.72675)","('研究', 44.021737)","('项目', 77.57414)"
6,"('一名', 20.689647)","('任课', 24.064695)","('主任', 67.499994)","('培养', 25.214407)","('技术', 74.099481)"
7,"('保密工作', 20.689647)","('门', 20.689647)","('圆满结束', 65.828165)","('专业学位', 24.999992)","('基金', 70.673069)"
8,"('博物', 20.689647)","('广东省教育厅', 20.626223)","('热烈', 65.828165)","('26050732', 24.999992)","('科技', 63.441985)"
9,"('博物馆', 20.689647)","('课', 19.817677)","('生源', 61.764697)","('硕士学位', 20.689647)","('科研', 61.726983)"
10,"('筹', 20.689647)","('学年', 17.668267)","('伊始', 61.764697)","('岗位职责', 20.689647)","('26532350', 56.934298)"
11,"('本页', 19.817677)","('229', 16.438348)","('高考', 60.88502)","('仔细', 19.817677)","('领域', 56.061665)"
12,"('入口', 19.817677)","('课堂教学', 16.438348)","('录取', 60.669185)","('博士', 19.525912)","('国家自然科学基金', 52.173904)"
13,"('基层', 19.817677)","('上网', 16.438348)","('表示', 57.630087)","('是否', 18.061696)","('李洁', 47.482006)"
14,"('办公室', 18.185078)","('思政', 16.438348)","('纷纷', 56.934298)","('名单', 16.666665)","('科技部', 46.29629)"
