,党政办公室,教务部,招生办公室,研究生院,科学技术部
0,"('党政', 0.20752815630975247)","('教务部', 0.3060839992840807)","('中学', 0.3394371389893528)","('研究生院', 0.4503928726454712)","('技术部', 0.27380605538438585)"
1,"('定于', 0.09541537016935553)","('教学', 0.12228977888277089)","('招生', 0.3093593267003605)","('研究生', 0.38068190371292204)","('项目', 0.23495054659182085)"
2,"('培养', 0.07935822464670121)","('课程', 0.07837799249604296)","('进', 0.2383647947154827)","('硕士', 0.16219589700821724)","('基金', 0.23216324975934227)"
3,"('全', 0.07088623000338307)","('课堂', 0.06769202935778154)","('名师', 0.22258173302699802)","('导师', 0.1346722248058253)","('自然科学', 0.23216324975934227)"
4,"('总支', 0.06769202935778154)","('任课', 0.060899559594558596)","('介绍', 0.21379165337560052)","('学位', 0.1198136953803545)","('科学', 0.2013917850109348)"
5,"('办公室', 0.06297422453426305)","('办公室', 0.05751573056407797)","('走', 0.20562080143885633)","('培养', 0.07745980476108738)","('科研', 0.18122447570412614)"
6,"('南山区', 0.055860030585275805)","('招生', 0.05592593514852144)","('办公室', 0.18926894490256713)","('26050732', 0.06769202935778154)","('领域', 0.14819915745703557)"
7,"('博物馆', 0.055860030585275805)","('研究生院', 0.054387447882864544)","('通知', 0.18056470797032395)","('项目', 0.06441285958998524)","('国家', 0.14483888781693596)"
8,"('筹', 0.055860030585275805)","('11月', 0.053934989461036996)","('热烈', 0.17658043808578572)","('博士', 0.05754892578982496)","('李洁', 0.13057866947980282)"
9,"('申请', 0.054387447882864544)","('本科', 0.053605863684116524)","('生源', 0.17183438054749925)","('创新', 0.054387447882864544)","('szu.edu.cn', 0.1216275579353158)"
10,"('本页', 0.04984115230131111)","('门', 0.04984115230131111)","('伊始', 0.17183438054749925)","('重点', 0.0505148687535411)","('科技部', 0.12032511977669098)"
11,"('基层', 0.04984115230131111)","('科研', 0.04671635468213304)","('主任', 0.16527987523703905)","('仔细', 0.04984115230131111)","('lijie', 0.11745929046414541)"
12,"('入口', 0.04984115230131111)","('教师', 0.046630246497562436)","('高考', 0.16219589700821724)","('是否', 0.04818361662573223)","('研究', 0.11244717718164249)"
13,"('10月', 0.0498334312265465)","('229', 0.04424886378799753)","('纷纷', 0.15774589336677913)","('名单', 0.04804489151477013)","('@', 0.10502251863611517)"
14,"('建议', 0.04860653228466512)","('学时', 0.04424886378799753)","('表示', 0.15520184720434632)","('邹娟', 0.04424886378799753)","('科技', 0.09921037512531394)"
